,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
,Rk,Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
0,1.0,Shai Gilgeous-Alexander,26.0,7,7.0,267,0.561,0.468,0.9,13.2,6.9,27.3,2.4,4.0,11.3,34.2,114.0,108.0,21.8
1,2.0,Jalen Williams,23.0,7,7.0,243,0.541,0.465,3.3,13.5,8.3,19.2,1.2,0.0,9.0,29.6,112.0,113.0,15.3
2,3.0,Chet Holmgren,22.0,7,7.0,212,0.489,0.414,7.3,26.7,16.8,3.0,0.9,5.6,10.2,19.8,100.0,108.0,9.4
3,4.0,Alex Caruso,30.0,7,0.0,202,0.583,0.528,4.9,9.1,7.0,7.8,4.2,3.1,11.6,14.6,117.0,106.0,9.4
4,5.0,Luguentz Dort,25.0,7,7.0,220,0.609,0.611,5.0,11.1,8.1,3.1,2.5,1.4,6.0,9.7,127.0,110.0,7.1
5,6.0,Cason Wallace,21.0,7,3.0,156,0.54,0.539,3.5,9.6,6.6,4.5,3.8,2.6,9.3,11.8,102.0,107.0,5.2
6,7.0,Aaron Wiggins,26.0,7,0.0,100,0.548,0.515,2.5,13.5,7.9,7.4,1.9,1.9,17.6,19.3,94.0,110.0,3.5
7,8.0,Isaiah Hartenstein,26.0,7,4.0,134,0.649,0.609,15.4,24.8,19.8,17.6,2.2,1.4,18.9,11.9,134.0,107.0,7.9
8,9.0,Isaiah Joe,25.0,5,0.0,41,0.838,0.808,0.0,8.5,4.4,5.5,1.2,0.0,12.3,17.3,134.0,114.0,3.3
9,10.0,Jaylin Williams,22.0,3,0.0,15,1.025,1.125,0.0,42.2,22.9,14.1,3.2,0.0,17.0,17.8,144.0,96.0,3.2
10,11.0,Kenrich Williams,30.0,7,0.0,55,0.322,0.35,11.0,14.2,12.9,9.6,0.0,2.1,15.5,10.2,91.0,114.0,1.1
11,12.0,Dillon Jones,23.0,3,0.0,10,1.0,1.0,12.5,10.2,11.2,27.4,0.0,0.0,33.3,13.8,139.0,113.0,1.1
12,13.0,Ajay Mitchell,22.0,4,0.0,19,0.254,0.143,14.0,11.5,13.8,42.8,0.0,0.0,27.6,24.6,73.0,115.0,0.7
13,14.0,Ousmane Dieng,21.0,3,0.0,6,0.5,0.5,0.0,0.0,0.0,0.0,0.0,17.1,0.0,24.2,89.0,107.0,0.7
15,1.0,Pascal Siakam,30.0,7,7.0,234,0.574,0.505,7.7,18.6,13.1,19.4,2.3,3.5,9.3,23.8,121.0,110.0,17.1
16,2.0,Tyrese Haliburton,24.0,7,7.0,210,0.58,0.556,1.1,15.4,8.5,31.5,1.8,1.7,20.7,21.8,106.0,113.0,11.5
17,3.0,Bennedict Mathurin,22.0,7,0.0,144,0.58,0.482,14.4,14.3,13.9,11.3,1.4,2.9,10.7,25.4,120.0,114.0,10.1
18,4.0,T.J. McConnell,32.0,7,0.0,142,0.592,0.575,2.4,17.2,9.8,42.3,5.1,0.7,21.1,27.3,106.0,105.0,10.4
19,5.0,Andrew Nembhard,25.0,7,7.0,237,0.606,0.56,2.9,7.5,5.3,17.8,1.8,0.3,20.1,15.3,112.0,116.0,8.8
20,6.0,Obi Toppin,26.0,7,0.0,166,0.556,0.555,2.9,21.4,12.1,7.9,1.5,1.5,12.6,20.4,99.0,111.0,7.3
21,7.0,Myles Turner,28.0,7,7.0,190,0.502,0.426,5.4,12.6,9.0,8.7,0.5,4.5,16.0,19.9,94.0,113.0,6.4
22,8.0,Aaron Nesmith,25.0,7,7.0,189,0.549,0.535,5.7,17.9,12.1,5.7,1.6,2.5,14.3,15.8,101.0,111.0,5.9
23,9.0,Ben Sheppard,23.0,7,0.0,95,0.556,0.556,4.9,12.7,8.8,1.4,2.5,1.1,18.2,10.0,93.0,110.0,2.0
24,10.0,Thomas Bryant,27.0,6,0.0,32,0.644,0.667,0.0,6.7,3.5,4.0,0.0,3.2,0.0,10.3,119.0,117.0,0.9
25,11.0,Tony Bradley,27.0,3,0.0,24,0.678,0.5,17.8,12.5,15.7,0.0,0.0,0.0,23.1,15.5,123.0,118.0,2.1
26,12.0,Johnny Furphy,20.0,4,0.0,12,0.694,1.0,0.0,10.2,5.1,0.0,0.0,0.0,41.0,8.3,50.0,116.0,0.1
27,13.0,James Johnson,37.0,2,0.0,5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,78.0,120.0,0.1
