,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
,Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,1.0,Shai Gilgeous-Alexander,26.0,7,267,70,158,8,33,64,70,2,30,32,39,13,11,24,22,212,0.443,0.242,0.914,38.1,30.3,4.6,5.6,1.9,1.6
1,2.0,Jalen Williams,23.0,7,243,55,127,8,30,47,58,7,28,35,26,6,0,15,23,165,0.433,0.267,0.81,34.7,23.6,5.0,3.7,0.9,0.0
2,3.0,Chet Holmgren,22.0,7,212,30,76,3,19,23,27,14,48,62,4,4,11,10,15,86,0.395,0.158,0.852,30.3,12.3,8.9,0.6,0.6,1.6
3,4.0,Alex Caruso,30.0,7,202,23,53,10,25,15,18,9,16,25,11,17,6,8,21,71,0.434,0.4,0.833,28.9,10.1,3.6,1.6,2.4,0.9
4,5.0,Luguentz Dort,25.0,7,220,19,45,17,38,2,4,11,21,32,5,11,3,3,25,57,0.422,0.447,0.5,31.4,8.1,4.6,0.7,1.6,0.4
5,6.0,Cason Wallace,21.0,7,156,18,38,5,16,1,2,5,13,18,5,12,4,4,18,42,0.474,0.313,0.5,22.3,6.0,2.6,0.7,1.7,0.6
6,7.0,Aaron Wiggins,26.0,7,100,12,33,10,22,7,10,2,12,14,5,4,2,8,8,41,0.364,0.455,0.7,14.3,5.9,2.0,0.7,0.6,0.3
7,8.0,Isaiah Hartenstein,26.0,7,134,14,23,0,0,11,16,19,28,47,16,6,2,7,11,39,0.609,,0.688,19.1,5.6,6.7,2.3,0.9,0.3
8,9.0,Isaiah Joe,25.0,5,41,8,13,5,9,3,3,0,3,3,1,1,0,2,5,24,0.615,0.556,1.0,8.2,4.8,0.6,0.2,0.2,0.0
9,10.0,Jaylin Williams,22.0,3,15,3,4,3,4,1,2,0,6,6,1,1,0,1,2,10,0.75,0.75,0.5,5.0,3.3,2.0,0.3,0.3,0.0
10,11.0,Kenrich Williams,30.0,7,55,3,10,1,6,0,2,5,7,12,4,0,1,2,0,7,0.3,0.167,0.0,7.9,1.0,1.7,0.6,0.0,0.1
11,12.0,Dillon Jones,23.0,3,10,2,2,0,0,0,0,1,1,2,1,0,0,1,2,4,1.0,,,3.3,1.3,0.7,0.3,0.0,0.0
12,13.0,Ajay Mitchell,22.0,4,19,1,7,0,2,2,2,3,2,5,5,0,0,3,0,4,0.143,0.0,1.0,4.8,1.0,1.3,1.3,0.0,0.0
13,14.0,Ousmane Dieng,21.0,3,6,1,3,1,2,0,0,0,0,0,0,0,1,0,0,3,0.333,0.5,,2.0,1.0,0.0,0.0,0.0,0.3
15,1.0,Pascal Siakam,30.0,7,234,44,97,10,28,37,47,16,38,54,26,11,9,12,18,135,0.454,0.357,0.787,33.4,19.3,7.7,3.7,1.6,1.3
16,2.0,Tyrese Haliburton,24.0,7,210,37,81,16,45,8,8,2,30,32,41,8,4,22,9,98,0.457,0.356,1.0,30.0,14.0,4.6,5.9,1.1,0.6
17,3.0,Bennedict Mathurin,22.0,7,144,24,57,7,21,32,41,18,18,36,9,4,5,9,13,87,0.421,0.333,0.78,20.6,12.4,5.1,1.3,0.6,0.7
18,4.0,T.J. McConnell,32.0,7,142,37,67,3,5,7,9,3,22,25,30,15,1,19,11,84,0.552,0.6,0.778,20.3,12.0,3.6,4.3,2.1,0.1
19,5.0,Andrew Nembhard,25.0,7,237,27,58,11,26,17,22,6,16,22,26,9,1,17,21,82,0.466,0.423,0.773,33.9,11.7,3.1,3.7,1.3,0.1
20,6.0,Obi Toppin,26.0,7,166,29,64,13,36,6,12,4,31,35,8,5,3,10,13,77,0.453,0.361,0.5,23.7,11.0,5.0,1.1,0.7,0.4
21,7.0,Myles Turner,28.0,7,190,23,61,6,28,22,29,9,22,31,10,2,10,14,20,74,0.377,0.214,0.759,27.1,10.6,4.4,1.4,0.3,1.4
22,8.0,Aaron Nesmith,25.0,7,189,22,57,17,36,5,7,9,32,41,7,6,5,10,32,66,0.386,0.472,0.714,27.0,9.4,5.9,1.0,0.9,0.7
23,9.0,Ben Sheppard,23.0,7,95,8,18,4,12,0,0,4,11,15,1,5,1,4,12,20,0.444,0.333,,13.6,2.9,2.1,0.1,0.7,0.1
24,10.0,Thomas Bryant,27.0,6,32,3,6,2,5,2,4,0,2,2,1,0,1,0,7,10,0.5,0.4,0.5,5.3,1.7,0.3,0.2,0.0,0.2
25,11.0,Tony Bradley,27.0,3,24,2,4,0,0,5,6,4,3,7,0,0,0,2,5,9,0.5,,0.833,8.0,3.0,2.3,0.0,0.0,0.0
26,12.0,Johnny Furphy,20.0,4,12,1,1,0,0,0,1,0,1,1,0,0,0,1,1,2,1.0,,0.0,3.0,0.5,0.3,0.0,0.0,0.0
27,13.0,James Johnson,37.0,2,5,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0.5,,,2.5,1.0,0.0,0.0,0.0,0.0
